"Model","Year","SB / SB(F=0)","Spawning potential (10^3 t)","Recruitment (millions)","F (year^-1)"
"Diagnostic",2024,"0.162","233.6","69.3","0.433"
"ASPM",2024,"0.480","985.6","116.6","0.146"
