"Metric","Value"
"Model configuration","Diagnostic reference fit"
"Objective function","90,814.9"
"Maximum gradient component","9.68e-05"
"Hessian","Positive definite"
"Active parameters","1997"
"Years","1952 - 2024"
"Regions","5"
"Tag release groups","98"
