"Likelihood component","Negative log likelihood"
"Total objective","90,814.9"
"Tag","7,379.6"
"Length frequency","80,583.6"
"Weight frequency","0.0"
"Age","3,633.6"
"CPUE","-1,069.5"
"Catch","0.0"
"Penalty","210.3"
