"Tag programme","Region","Release groups","First release year","Last release year"
"JPTP",1,34,2000,2017
"JPTP",3,3,2001,2005
"PTTP",1,3,2020,2021
"PTTP",2,4,2008,2019
"PTTP",3,25,2006,2019
"PTTP",4,13,2008,2021
"PTTP",5,1,2009,2009
"RTTP",2,5,1990,1992
"RTTP",3,9,1989,1992
"RTTP",5,1,1991,1991
