"year","quantity","estimate","se_log","lower_50","upper_50","lower_80","upper_80","lower_95","upper_95","final_par_sha256","hessian_sha256","gradient_sha256","method"
1966,"fishing_mortality",0.15850307,0.0478211386813606,0.153472146468629,0.163698910698172,0.149080839689598,0.168520805569207,0.144321904514915,0.1740776861549,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1967,"fishing_mortality",0.1726062325,0.0472318188395102,0.167194116194774,0.178193540394308,0.162468295175521,0.183376771853596,0.157344901964453,0.189347802984902,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1968,"fishing_mortality",0.14157744,0.0469477782655958,0.137164515889481,0.146132338870383,0.133310480539679,0.150357056968132,0.129131451832159,0.155223001310373,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1969,"fishing_mortality",0.1777009625,0.0466059734906224,0.172201775075534,0.183375764039455,0.167397997109838,0.188638051939814,0.16218799446371,0.19469771593046,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1970,"fishing_mortality",0.1697974575,0.0454228502370384,0.164674212662808,0.175080093642226,0.160195440901015,0.179975013092159,0.155334234932498,0.185607355558118,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1971,"fishing_mortality",0.172615365,0.0446322408623962,0.167496391299881,0.177890783215366,0.163019084600831,0.182776539980223,0.158157000056326,0.188395481853296,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1972,"fishing_mortality",0.2385854575,0.0441352578938918,0.231587733340967,0.245794626983445,0.22546522848993,0.252469176341428,0.21881443516082,0.260142894542803,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1973,"fishing_mortality",0.2027534975,0.0440545801751234,0.196817436417861,0.208868591607933,0.19162354169526,0.214529907885005,0.185981192434618,0.221038376033289,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1974,"fishing_mortality",0.2274047925,0.0439650651743041,0.220760338181217,0.234249231895623,0.214946284674356,0.240585408258222,0.208629867276077,0.247869302354188,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1975,"fishing_mortality",0.291118175,0.043403602696312,0.28271914920635,0.299766719209649,0.275367158611203,0.307770150379446,0.267377037112505,0.316967353406906,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1976,"fishing_mortality",0.30813469,0.0433275597179412,0.299260070892397,0.317272487767122,0.291491396446177,0.325728266216351,0.283048011725227,0.335444812357726,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1977,"fishing_mortality",0.3422886175,0.0436529710251789,0.33235737159781,0.352516621210496,0.323665559407351,0.361983208484061,0.314220836907805,0.372863552980853,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1978,"fishing_mortality",0.28719347,0.0435271771513338,0.278884429634452,0.295750068652997,0.271611782926346,0.303669039398808,0.263708519552124,0.312769907285222,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1979,"fishing_mortality",0.3721592075,0.0439997276776999,0.361276782301561,0.383369434494739,0.351754616391733,0.393747428669946,0.341409917107126,0.405677951304412,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1980,"fishing_mortality",0.3792096225,0.0447881367232702,0.367925328796192,0.390840006223787,0.358056515732009,0.401612403289488,0.347340654256775,0.414002611080151,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1981,"fishing_mortality",0.3607256275,0.04425721765323,0.350116723659088,0.371655992251232,0.3408354222783,0.381776569657776,0.330754061331554,0.393413093134572,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1982,"fishing_mortality",0.417232615,0.0429363406453692,0.405322794994822,0.429492387720167,0.394894547708787,0.440834283556923,0.383557757111647,0.453863992559184,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1983,"fishing_mortality",0.4096251375,0.0418888783378234,0.398213711048742,0.421363575930101,0.388215145663842,0.432215886335323,0.377338155571649,0.444674758686134,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1984,"fishing_mortality",0.442775945,0.0418595252500815,0.430449518229455,0.455455353457119,0.419649036468435,0.467177380223509,0.40789945601825,0.480634466602161,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1985,"fishing_mortality",0.4621265875,0.0417575323190926,0.449292365941078,0.475327423885948,0.438046216332944,0.487530710029178,0.42581100306137,0.501539371549814,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
1986,"fishing_mortality",0.4239247975,0.0409887142257536,0.412365300207272,0.435808332672718,0.402231150345398,0.446788454303195,0.391200286866478,0.459386764194154,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","406499fd39a792de4935f104fc69bceb64bc87ccb8f7aa33f7d445be9c5a2817","MFCL dependent-variable gradients; annual log-scale delta method including FMSY covariance"
