"year","quantity","estimate","se_log","lower_50","upper_50","lower_80","upper_80","lower_95","upper_95","final_par_sha256","hessian_sha256","gradient_sha256","noeff_gradient_sha256","method"
1952,"depletion",0.992756913469505,0.00043752477202707,0.992463988197547,0.993049925198217,0.992200420218429,0.993313718839718,0.991905956772013,0.993608600203243,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL dependent-variable gradients; annual log-scale delta method retaining full within-year covariance"
1953,"depletion",0.97015480904069,0.00179320556225986,0.968982117318317,0.971328919990364,0.967927870270314,0.972386871391489,0.966751070102009,0.973570531869662,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL dependent-variable gradients; annual log-scale delta method retaining full within-year covariance"
1954,"depletion",0.956517187317828,0.00250733647810956,0.954900918591197,0.958136191746715,0.953448561642906,0.959595689208323,0.951828116402218,0.961229358397924,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL dependent-variable gradients; annual log-scale delta method retaining full within-year covariance"
1955,"depletion",0.945408713604564,0.00277377122098805,0.943641620631701,0.947179115691297,0.942054006157341,0.94877536735421,0.940282952687984,0.950562416562312,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL dependent-variable gradients; annual log-scale delta method retaining full within-year covariance"
1956,"depletion",0.930951974876097,0.00333312601113686,0.928861397363607,0.933047257627009,0.92698382683877,0.934937109400556,0.924890067549961,0.937053613108338,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL dependent-variable gradients; annual log-scale delta method retaining full within-year covariance"
1957,"depletion",0.917577080048945,0.003716616770588,0.915279760235731,0.919880166053606,0.913217019152862,0.92195795760812,0.910917335126717,0.924285514573093,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL dependent-variable gradients; annual log-scale delta method retaining full within-year covariance"
1958,"depletion",0.893401348375866,0.00476567801056811,0.890534208751169,0.896277718965019,0.887961562040514,0.898874459662026,0.885095333714435,0.901785309306956,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL dependent-variable gradients; annual log-scale delta method retaining full within-year covariance"
1959,"depletion",0.862009554254123,0.00631701391915321,0.858344550839405,0.865690206687661,0.855059259033476,0.869016344510808,0.851402708527647,0.872748540946488,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL dependent-variable gradients; annual log-scale delta method retaining full within-year covariance"
1960,"depletion",0.837182199316748,0.00754315350776025,0.832933617785024,0.841452451777159,0.829128200552718,0.845314433142675,0.824896083475319,0.849651306259108,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL dependent-variable gradients; annual log-scale delta method retaining full within-year covariance"
1961,"depletion",0.825561132148026,0.00817383010852506,0.821022201149616,0.830125156127575,0.816958363209868,0.834254490321494,0.812440680303629,0.838893471777924,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL dependent-variable gradients; annual log-scale delta method retaining full within-year covariance"
