"year","quarter","period","quantity","estimate","se_log","lower_50","upper_50","lower_80","upper_80","lower_95","upper_95","final_par_sha256","hessian_sha256","gradient_sha256","noeff_gradient_sha256","method"
1952,1,1952,"depletion",1,0,1,1,1,1,1,1,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL quarterly dependent-variable gradients; log-scale delta method"
1952,2,1952.25,"depletion",0.994017964053935,0.000368085887183907,0.993771209688988,0.994264779688233,0.993549175438628,0.994486973858864,0.993301103237794,0.994735342225215,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL quarterly dependent-variable gradients; log-scale delta method"
1952,3,1952.5,"depletion",0.989653893009095,0.000628577015943821,0.989234399613056,0.990073564294933,0.988856994512081,0.990451433709399,0.988435401716865,0.990873886393446,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL quarterly dependent-variable gradients; log-scale delta method"
1952,4,1952.75,"depletion",0.98738030468402,0.00076008271619473,0.986874236130282,0.987886632749427,0.986418980429382,0.988342565806601,0.985910465041072,0.988852335629983,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL quarterly dependent-variable gradients; log-scale delta method"
1953,1,1953,"depletion",0.978435902664327,0.00129735024846134,0.977580097361317,0.979292457167038,0.976810485949254,0.98006402407958,0.975951135642623,0.980926995891234,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL quarterly dependent-variable gradients; log-scale delta method"
1953,2,1953.25,"depletion",0.969766459378713,0.00183874605894663,0.96856448561774,0.970969924770799,0.96748394561982,0.972054358104543,0.966277831326863,0.973267682695909,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL quarterly dependent-variable gradients; log-scale delta method"
1953,3,1953.5,"depletion",0.967345071226595,0.00196325428637211,0.966064965565072,0.96862687312032,0.96491427903505,0.969781987019797,0.963629968953726,0.971074496409027,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL quarterly dependent-variable gradients; log-scale delta method"
1953,4,1953.75,"depletion",0.965026226782028,0.00208096854187484,0.96367267387687,0.966381680857071,0.962456057418347,0.9676032595973,0.961098264022248,0.96897024293824,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL quarterly dependent-variable gradients; log-scale delta method"
1954,1,1954,"depletion",0.960309164511415,0.00235497523526679,0.958785013846609,0.961835738071047,0.957415299205885,0.963211776759273,0.95588691120596,0.96475187664319,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL quarterly dependent-variable gradients; log-scale delta method"
1954,2,1954.25,"depletion",0.956571252436168,0.00256233031555842,0.954919471078864,0.958225890978538,0.953435255271155,0.959717564384659,0.951779322522027,0.96138730831287,"21dcaea9db8c89ddc8c29fa3c3a5e514b50bef6e26587c168c00c05f35fbebc3","e289a150c45930c2f4f164fb43432d5c034d8caec7bda7ce664caca9e4ad20c5","2a1d8aca95b935951cb371014dc53250bca5ead96b6750c991b6e3b51a154b04","278bee47cd45eccaf00a839b10f2e01146092ada4f32ea3a0afa4a9b2b55b53f","MFCL quarterly dependent-variable gradients; log-scale delta method"
