"check_type","unit","part","run_status","run_completed","output_hessian","has_hessian_file","success","missing","failure_reason","folder"
"hessian","part_13",13,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_13"
"hessian","part_14",14,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_14"
"hessian","part_15",15,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_15"
"hessian","part_16",16,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_16"
"hessian","part_17",17,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_17"
"hessian","part_18",18,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_18"
"hessian","part_19",19,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_19"
"hessian","part_20",20,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_20"
"hessian","part_21",21,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_21"
"hessian","part_22",22,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_22"
"hessian","part_23",23,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_23"
"hessian","part_24",24,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_24"
"hessian","part_25",25,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_25"
"hessian","part_26",26,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_26"
"hessian","part_27",27,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_27"
"hessian","part_28",28,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_28"
"hessian","part_29",29,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_29"
"hessian","part_30",30,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_30"
"hessian","part_31",31,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_31"
"hessian","part_32",32,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_32"
"hessian","part_33",33,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_33"
"hessian","part_34",34,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_34"
"hessian","part_35",35,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_35"
"hessian","part_36",36,"completed",TRUE,"bet.hes",TRUE,TRUE,FALSE,"","/var/lib/condor/execute/dir_1791789/scratch/output/checks/hessian/S0.90-F2-tau2-fixed/hessian/part_36"
